MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
RFRNC_RT_85,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_49,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_26,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_21,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_40,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_28,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_47,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_54,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_53,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_32,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_35,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_98,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_96,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_91,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_70,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_77,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_18,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_16,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_79,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_11,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_64,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_63,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_89,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_80,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_87,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_42,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
